ticket_id,customer_id,created_date,category,priority,status,resolution_time_hours,satisfaction_score,ticket_text
TKT_00000001,CUST_006334,2024-09-29,performance,medium,resolved,23.0,4.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000002,CUST_006334,2024-07-31,billing,medium,pending,,,My payment failed but I'm not sure why. Can you help me resolve this quickly?
TKT_00000003,CUST_000334,2024-02-25,data_export,medium,resolved,38.0,4.0,Export format is missing some columns we need. Can this be customized?
TKT_00000004,CUST_000334,2024-09-21,technical_issue,low,resolved,67.0,4.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000005,CUST_005084,2023-09-08,billing,low,resolved,59.0,4.0,Can you help me understand the billing changes? The new pricing seems much higher than expected.
TKT_00000006,CUST_005084,2023-12-01,data_export,low,resolved,94.0,2.0,Export format is missing some columns we need. Can this be customized?
TKT_00000007,CUST_005084,2023-06-18,bug_report,medium,resolved,41.0,2.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000008,CUST_005084,2024-09-01,performance,low,resolved,91.0,2.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000009,CUST_005084,2024-10-01,performance,low,resolved,47.0,4.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000010,CUST_003038,2023-10-28,feature_request,low,closed,70.0,2.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000011,CUST_003038,2023-02-25,technical_issue,medium,resolved,29.0,3.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000012,CUST_003038,2023-04-28,bug_report,high,resolved,9.0,4.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000013,CUST_001582,2024-07-06,integration_help,low,closed,71.0,3.0,Need help with custom integration. Our development team is stuck on the implementation.
TKT_00000014,CUST_001582,2023-01-04,integration_help,low,resolved,46.0,3.0,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000015,CUST_001582,2023-06-03,integration_help,medium,closed,33.0,4.0,Webhook setup is failing. Getting authentication errors that I can't resolve.
TKT_00000016,CUST_006439,2024-05-03,data_export,low,closed,54.0,4.0,Export format is missing some columns we need. Can this be customized?
TKT_00000017,CUST_006439,2024-07-03,feature_request,medium,resolved,18.0,2.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000018,CUST_006439,2023-10-09,training,medium,closed,20.0,3.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000019,CUST_006439,2024-02-19,technical_issue,high,closed,14.0,3.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000020,CUST_006439,2023-04-03,data_export,medium,resolved,42.0,2.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000021,CUST_006400,2022-11-13,account_access,medium,resolved,39.0,2.0,Need to transfer account ownership to a new admin. What's the process for this?
TKT_00000022,CUST_006400,2023-05-21,training,high,resolved,12.0,3.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000023,CUST_006400,2023-02-20,data_export,low,resolved,33.0,3.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000024,CUST_006400,2022-08-13,feature_request,high,resolved,4.0,3.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000025,CUST_003963,2023-01-22,bug_report,medium,resolved,28.0,3.0,Data synchronization issue - seeing stale data that should have updated hours ago.
TKT_00000026,CUST_003963,2023-02-22,performance,low,resolved,52.0,4.0,Dashboard performance has degraded significantly over the past month.
TKT_00000027,CUST_003963,2023-08-30,training,medium,closed,16.0,2.0,Onboarding process could be improved. New users are struggling to get started.
TKT_00000028,CUST_003963,2023-04-03,training,medium,closed,33.0,4.0,New team members need training on advanced features. Do you offer sessions?
TKT_00000029,CUST_009496,2023-11-29,bug_report,high,resolved,10.0,3.0,Getting JavaScript errors in the browser console. Interface is unstable.
TKT_00000030,CUST_009496,2024-01-29,feature_request,high,resolved,14.0,4.0,Better mobile experience would help our field team access data on the go.
TKT_00000031,CUST_009496,2023-11-21,technical_issue,low,resolved,58.0,3.0,The dashboard is loading very slowly and sometimes crashes. This is impacting our daily operations.
TKT_00000032,CUST_009496,2024-03-28,technical_issue,medium,resolved,33.0,4.0,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000033,CUST_006706,2024-06-30,performance,medium,resolved,36.0,3.0,Query timeouts are happening frequently. This is impacting our productivity.
TKT_00000034,CUST_006706,2024-07-02,technical_issue,medium,resolved,24.0,3.0,I can't export data - getting an error message every time I try. This is blocking our reporting.
TKT_00000035,CUST_006706,2023-07-18,performance,low,resolved,61.0,3.0,Dashboard performance has degraded significantly over the past month.
TKT_00000036,CUST_006706,2024-09-13,technical_issue,urgent,pending,,,API calls are failing intermittently. Our integration is broken and customers are complaining.
TKT_00000037,CUST_006706,2024-04-17,performance,medium,resolved,36.0,4.0,Page load times are unacceptable. Considering switching to a competitor.
TKT_00000038,CUST_006706,2024-03-17,data_export,low,resolved,40.0,4.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000039,CUST_006706,2023-01-08,data_export,low,resolved,90.0,1.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000040,CUST_006706,2024-01-31,feature_request,medium,resolved,13.0,2.0,Would love to see dark mode added to the interface. Many of our team members have requested this.
TKT_00000041,CUST_007552,2024-09-04,data_export,low,resolved,56.0,2.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000042,CUST_008064,2022-03-22,data_export,low,closed,34.0,3.0,Export format is missing some columns we need. Can this be customized?
TKT_00000043,CUST_000896,2023-11-04,performance,medium,resolved,39.0,4.0,Dashboard performance has degraded significantly over the past month.
TKT_00000044,CUST_000896,2023-09-17,data_export,medium,resolved,15.0,3.0,Need help with bulk data migration. Moving to new system and need all historical data.
TKT_00000045,CUST_006159,2024-03-11,technical_issue,low,resolved,50.0,2.0,I can't export data - getting an error message every time I try. This is blocking our reporting.
TKT_00000046,CUST_006159,2024-02-14,integration_help,medium,resolved,39.0,4.0,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000047,CUST_006159,2024-02-28,bug_report,low,resolved,81.0,3.0,Found a bug in the reporting module. Charts are showing incorrect data.
TKT_00000048,CUST_006159,2024-03-31,performance,medium,resolved,19.0,4.0,System is very slow during peak hours. Reports take forever to load.
TKT_00000049,CUST_009305,2024-09-04,account_access,low,resolved,52.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000050,CUST_009305,2023-06-10,integration_help,high,resolved,6.0,3.0,API documentation is confusing. Can someone walk me through the setup process?
TKT_00000051,CUST_009305,2023-05-18,data_export,high,pending,,,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000052,CUST_009305,2023-09-19,performance,low,resolved,34.0,3.0,Dashboard performance has degraded significantly over the past month.
TKT_00000053,CUST_009305,2023-12-19,integration_help,low,resolved,71.0,3.0,Having trouble connecting to Salesforce. The integration guide isn't clear enough.
TKT_00000054,CUST_008785,2024-03-25,data_export,low,resolved,90.0,2.0,Scheduled exports stopped working last week. Our automated reports are broken.
TKT_00000055,CUST_008785,2024-06-15,account_access,high,resolved,7.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000056,CUST_009691,2022-07-13,account_access,low,closed,71.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000057,CUST_009691,2023-01-02,feature_request,low,resolved,53.0,4.0,Better mobile experience would help our field team access data on the go.
TKT_00000058,CUST_009691,2024-04-23,account_access,medium,resolved,18.0,3.0,Can you help me add new team members to our account? The process isn't clear.
TKT_00000059,CUST_009691,2023-08-16,feature_request,medium,resolved,28.0,4.0,Would love to see dark mode added to the interface. Many of our team members have requested this.
TKT_00000060,CUST_004192,2024-05-04,billing,high,pending,,,I need to downgrade my plan but can't find the option. The current cost is too high for our small team.
TKT_00000061,CUST_004192,2024-03-31,feature_request,low,resolved,80.0,2.0,Can you add more export formats? We need Excel compatibility for our stakeholders.
TKT_00000062,CUST_004613,2024-07-08,data_export,high,resolved,6.0,3.0,Large data exports are timing out. Need a solution for exporting our complete dataset.
TKT_00000063,CUST_004613,2024-02-09,feature_request,medium,resolved,41.0,4.0,Real-time notifications would be amazing for our workflow. Currently we miss important updates.
TKT_00000064,CUST_004613,2023-12-17,performance,low,resolved,54.0,3.0,System is very slow during peak hours. Reports take forever to load.
