churn_id,customer_id,churn_date,churn_reason,days_since_signup,final_plan_type,final_monthly_revenue
CHN_00000001,CUST_008928,2024-06-13,business_closure,30,premium,616.01
CHN_00000002,CUST_001858,2024-04-16,missing_features,119,enterprise,2121.26
CHN_00000003,CUST_000948,2024-04-01,competitor_switch,374,enterprise,680.15
CHN_00000004,CUST_009711,2024-05-21,poor_performance,89,professional,472.49
CHN_00000005,CUST_003971,2024-06-06,competitor_switch,871,professional,116.13
CHN_00000006,CUST_000024,2024-06-12,competitor_switch,39,starter,25.09
CHN_00000007,CUST_009020,2024-03-10,pricing_too_high,718,professional,224.09
CHN_00000008,CUST_001254,2023-11-25,poor_support,87,professional,447.87
CHN_00000009,CUST_003441,2024-01-13,missing_features,230,starter,52.11
CHN_00000010,CUST_002623,2024-03-08,ease_of_use,317,professional,231.52
CHN_00000011,CUST_000709,2024-03-07,missing_features,671,starter,28.42
CHN_00000012,CUST_001869,2024-05-19,integration_problems,391,enterprise,703.19
CHN_00000013,CUST_000041,2024-01-19,competitor_switch,592,enterprise,1339.08
CHN_00000014,CUST_001166,2024-06-06,pricing_too_high,197,starter,25.85
CHN_00000015,CUST_000595,2024-04-04,pricing_too_high,741,professional,88.09
CHN_00000016,CUST_000929,2023-08-11,pricing_too_high,199,professional,203.2
CHN_00000017,CUST_006590,2023-09-24,pricing_too_high,217,starter,24.94
CHN_00000018,CUST_001862,2023-07-09,poor_performance,469,starter,89.59
CHN_00000019,CUST_001974,2024-05-27,missing_features,158,professional,229.47
CHN_00000020,CUST_000938,2024-05-15,pricing_too_high,832,professional,233.13
CHN_00000021,CUST_001697,2023-12-26,competitor_switch,437,professional,343.18
CHN_00000022,CUST_002544,2024-06-03,missing_features,66,starter,53.48
CHN_00000023,CUST_000891,2024-04-09,business_closure,461,enterprise,344.78
CHN_00000024,CUST_006566,2023-09-13,poor_performance,516,starter,44.32
CHN_00000025,CUST_007011,2022-10-30,ease_of_use,258,professional,370.47
CHN_00000026,CUST_004854,2023-10-27,competitor_switch,409,starter,29.8
CHN_00000027,CUST_003098,2023-12-30,business_closure,556,starter,49.74
CHN_00000028,CUST_009628,2024-04-17,pricing_too_high,98,starter,32.85
CHN_00000029,CUST_004658,2023-08-03,competitor_switch,540,starter,39.77
CHN_00000030,CUST_008487,2024-04-04,missing_features,624,premium,1223.19
CHN_00000031,CUST_009692,2023-06-20,ease_of_use,275,professional,452.05
CHN_00000032,CUST_004881,2024-04-13,ease_of_use,57,starter,109.04
CHN_00000033,CUST_003755,2024-01-23,business_closure,112,premium,1354.36
CHN_00000034,CUST_008746,2023-10-30,poor_support,590,starter,97.41
CHN_00000035,CUST_005814,2024-02-12,business_closure,299,professional,200.6
CHN_00000036,CUST_006638,2024-06-24,pricing_too_high,59,professional,182.62
CHN_00000037,CUST_004973,2023-07-21,poor_support,204,starter,34.51
CHN_00000038,CUST_007419,2024-02-21,poor_performance,588,professional,106.94
CHN_00000039,CUST_003526,2024-02-22,business_closure,656,professional,478.3
CHN_00000040,CUST_001926,2024-04-13,pricing_too_high,44,starter,26.09
CHN_00000041,CUST_004428,2023-08-05,missing_features,126,starter,27.4
CHN_00000042,CUST_008181,2024-02-21,competitor_switch,97,starter,25.46
